tool,frame,gt_yaw,flip_trap,n_pts,err_raw,err_pose,err_smooth,signed_raw,signed_smooth
screwdriver_cyl,47,23.5,0,866,0.0378,1.5661,0.0378,179.96,179.96
screwdriver_cyl,48,24.0,0,866,0.0326,1.5648,0.0326,179.97,179.97
screwdriver_cyl,49,24.5,0,866,0.024,1.5515,0.024,179.98,179.98
screwdriver_cyl,50,25.0,0,866,0.0881,1.5603,0.0881,179.91,179.91
screwdriver_cyl,51,25.5,0,866,0.1009,1.578,0.1009,179.9,179.9
screwdriver_cyl,52,26.0,0,866,0.0353,1.5516,0.0353,179.96,179.96
screwdriver_cyl,53,26.5,0,866,0.0474,1.5448,0.0474,179.95,179.95
screwdriver_cyl,54,27.0,0,866,0.0714,1.5503,0.0714,179.93,179.93
screwdriver_cyl,55,27.5,0,866,0.0894,1.5596,0.0894,179.91,179.91
screwdriver_cyl,56,28.0,0,866,0.0317,1.5503,0.0317,179.97,179.97
screwdriver_cyl,57,28.5,0,866,0.0705,1.5387,0.0705,179.93,179.93
screwdriver_cyl,58,29.0,0,866,0.0746,1.5453,0.0746,179.93,179.93
screwdriver_cyl,59,29.5,0,866,0.0363,1.535,0.0363,179.96,179.96
screwdriver_cyl,60,30.0,0,866,0.0315,1.5319,0.0315,179.97,179.97
screwdriver_cyl,61,30.5,0,866,0.0726,1.5395,0.0726,179.93,179.93
screwdriver_cyl,62,31.0,0,866,0.1249,1.5731,0.1249,179.88,179.88
screwdriver_cyl,63,31.5,0,866,0.0255,1.5708,0.0255,179.97,179.97
screwdriver_cyl,64,32.0,0,866,0.0829,1.5795,0.0829,179.92,179.92
screwdriver_cyl,65,32.5,0,866,0.1098,1.6068,0.1098,179.89,179.89
screwdriver_cyl,66,33.0,0,866,0.0726,1.5921,0.0726,179.93,179.93
screwdriver_cyl,67,33.5,0,866,0.0834,1.5901,0.0834,179.92,179.92
screwdriver_cyl,68,34.0,0,866,0.032,1.5854,0.032,179.97,179.97
screwdriver_cyl,69,34.5,0,866,0.1357,1.6105,0.1357,179.86,179.86
screwdriver_cyl,70,35.0,0,866,0.1241,1.6294,0.1241,179.88,179.88
screwdriver_cyl,71,35.5,0,866,0.1271,1.6359,0.1271,179.87,179.87
screwdriver_cyl,72,36.0,0,866,0.0494,1.6198,0.0494,179.95,179.95
screwdriver_cyl,73,36.5,0,866,0.0994,1.6179,0.0994,179.9,179.9
screwdriver_cyl,74,37.0,0,866,0.0918,1.6178,0.0918,179.91,179.91
