tool_id,name,method,frame,frame_ms,n_points,d_axis0_deg,d_axis1_deg,d_axis2_deg,jitter_max_deg,flip,stable,power_iter
T01,long_nose_pliers,기존_PoseStabilizer,16,2.60142,1804,0.0288,0.1897,0.1879,0.1897,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,17,2.54396,1800,0.0444,0.9586,0.9595,0.9595,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,18,2.53921,1805,0.0737,0.5384,0.5434,0.5434,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,19,2.53392,1800,0.0692,0.0535,0.0863,0.0863,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,20,2.56642,1800,0.0459,0.1662,0.1722,0.1722,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,21,2.52621,1800,0.0722,0.0971,0.1206,0.1206,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,22,2.56683,1802,0.0832,0.1885,0.2059,0.2059,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,23,2.58083,1800,0.0121,0.1636,0.1639,0.1639,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,24,2.64808,1804,0.0437,0.2301,0.2268,0.2301,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,25,2.53567,1800,0.0578,0.1741,0.1819,0.1819,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,26,2.66067,1802,0.0838,0.3089,0.3175,0.3175,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,27,2.88571,1800,0.006,0.4018,0.4018,0.4018,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,28,2.61333,1800,0.1235,0.4121,0.4302,0.4302,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,29,2.57833,1800,0.0682,0.1634,0.1767,0.1767,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,30,2.57146,1800,0.0896,0.0713,0.1134,0.1134,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,31,2.55983,1804,0.0666,0.2128,0.2164,0.2164,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,32,2.74979,1803,0.052,0.2165,0.222,0.222,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,33,2.652,1800,0.0198,0.0533,0.0517,0.0533,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,34,2.67588,1805,0.0475,0.2316,0.2356,0.2356,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,35,2.62908,1801,0.0433,0.0722,0.0802,0.0802,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,36,2.67258,1805,0.0993,0.2481,0.2638,0.2638,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,37,2.66046,1805,0.0759,0.5803,0.5851,0.5851,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,38,2.6385,1805,0.0303,0.391,0.3908,0.391,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,39,2.56308,1800,0.0566,0.314,0.3187,0.3187,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,40,2.56933,1803,0.0642,0.2296,0.2345,0.2345,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,41,2.56188,1800,0.0164,0.0135,0.0212,0.0212,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,42,2.59929,1800,0.0167,0.2065,0.207,0.207,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,43,2.54112,1800,0.0232,0.1679,0.1695,0.1695,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,44,2.60208,1800,0.0312,0.1057,0.1098,0.1098,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,45,2.546,1800,0.0033,0.3365,0.3365,0.3365,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,46,2.64467,1800,0.0593,0.3434,0.3484,0.3484,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,47,2.58737,1800,0.0536,0.3253,0.3297,0.3297,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,48,2.63887,1804,0.0886,0.0827,0.1198,0.1198,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,49,2.58638,1800,0.1511,0.1243,0.1953,0.1953,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,50,2.56621,1800,0.1036,0.7274,0.7347,0.7347,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,51,2.5685,1800,0.114,0.7153,0.7243,0.7243,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,52,2.55312,1800,0.04,0.0982,0.1059,0.1059,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,53,2.57946,1804,0.1487,0.376,0.3973,0.3973,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,54,2.57658,1801,0.1909,0.1908,0.2698,0.2698,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,55,2.53762,1800,0.1872,0.1991,0.2691,0.2691,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,56,2.58588,1800,0.0613,0.2585,0.2654,0.2654,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,57,2.5845,1800,0.0888,0.4071,0.4166,0.4166,0,1,0
T01,long_nose_pliers,기존_PoseStabilizer,58,2.5775,1800,0.0342,0.19,0.1916,0.1916,0,1,0
